Rank,Impact Score,Company,Domain,City,Country,Industry,Employees,GTM Team,Sales,Marketing,BizDev,Revenue,Growth,Offices
1,93,"Finanz Informatik",f-i.de,"Frankfurt",DE,"Information Technology & Services",2900,128,7,15,106,3013000000,,8
2,93,"VECTOR Informatik",vector.com,"Stuttgart",DE,"Computer Software",2900,190,87,30,73,1342000000,,5
3,90,"PAYONE",payone.com,"Frankfurt am Main",DE,"Financial Services",950,148,80,17,51,851000000,5,1
4,84,"yoummday",yoummday.com,"Munich",DE,"Computer Software",750,51,34,7,10,65000000,,7
5,83,"PwC Deutschland",pwc.de,"Frankfurt am Main",DE,"Financial Services",16000,289,31,72,186,3303000000,,1
6,83,"Detecon",detecon.com,"Cologne",DE,"Information Technology & Services",1300,80,8,10,62,247000000,,1
7,83,"AMBOSS",amboss.com,"Berlin",DE,"Information Technology & Services",1100,73,29,33,11,340200000,5,1
8,83,"AVANTGARDE Group",avantgarde.net,"Munich",DE,"Marketing & Advertising",760,42,14,15,13,231000000,,12
9,81,"MaibornWolff GmbH",maibornwolff.de,"Munich",DE,"Information Technology & Services",800,22,4,9,9,95000000,,12
10,80,"Printec Group",printecgroup.com,"Vienna",AT,"Computer Software",620,38,26,5,7,2289000000,,1
11,78,"Habib Bank AG Zurich",habibbank.com,"Zurich",CH,"Banking",1800,32,2,7,23,310068000,,1
12,74,"Helsing",helsing.ai,"Munich",DE,"Information Technology & Services",590,17,2,7,8,36700000,,7
13,73,"Funk",funk-gruppe.de,"Hamburg",DE,"Insurance",1500,0,0,0,0,225128000,20,11
14,73,"WWK Lebensversicherung a. G.",wwk.de,"Muenchen",DE,"Insurance",810,0,0,0,0,1291000000,20,3
15,71,"Scalable Capital",scalable.capital,"Munich",DE,"Financial Services",770,0,0,0,0,155600000,25,3
16,71,"Aquila Capital",aquila-capital.com,"Hamburg",DE,"Investment Management",500,0,0,0,0,167100000,20,6
17,70,"AUTO1 Group",auto1-group.com,"Berlin",DE,"Mechanical Or Industrial Engineering",5600,0,0,0,0,6534309000,22,2
18,70,"Volksbank",volksbank.at,"Vienna",AT,"Banking",1600,23,3,6,14,,,2
19,70,"KfW IPEX-Bank",kfw-ipex-bank.de,"Frankfurt",DE,"Banking",990,0,0,0,0,637000000,20,2
20,70,"HSH Nordbank",hcob-bank.com,"Hamburg",DE,"Banking",940,0,0,0,0,1700000000,24,1
21,70,"FRITZ!",fritz.com,"Berlin",DE,"Telecommunications",880,0,0,0,0,715000000,24,1
22,70,"ROLAND Rechtsschutz-Versicherungs-AG",roland-rechtsschutz.de,"Cologne",DE,"Insurance",690,0,0,0,0,639000000,18,4
23,68,"Flink",goflink.com,"Berlin",DE,"Logistics & Supply Chain",2600,0,0,0,0,463000000,24,1
24,68,"SoundCloud",soundcloud.com,"Berlin",DE,"Internet",870,0,0,0,0,288000000,20,1
25,68,"Bethmann Bank",bethmannbank.de,"Frankfurt",DE,"Banking",720,0,0,0,0,160000000,20,2
26,68,"PŸUR | Tele Columbus",telecolumbus.com,"Berlin",DE,"Telecommunications",610,0,0,0,0,498968000,20,1
27,68,"LEUE & NILL GmbH + Co. KG",leueundnill.com,"Dortmund",DE,"Insurance",500,0,0,0,0,488000000,19,8
28,68,"CNT Management Consulting",cnt-online.com,"Vienna",AT,"Information Technology & Services",490,0,0,0,0,156000000,20,14
29,67,"DWS Group",dws.com,"Frankfurt am Main",DE,"Investment Management",4600,0,0,0,0,4313205000,15,2
30,67,"Berlin-Chemie Menarini",berlin-chemie.de,"Berlin",DE,"Pharmaceuticals",2200,0,0,0,0,1637000000,18,1
31,67,"Migros Bank",migrosbank.ch,"Zurich",CH,"Banking",1800,0,0,0,0,1682000000,10,8
32,67,"SCHNEIDER GROUP",schneider-group.com,"Berlin",DE,"Legal Services",500,0,0,0,0,43954000000,22,18
33,66,"L-Bank - Staatsbank für Baden-Württemberg",l-bank.info,"Karlsruhe",DE,"Banking",570,0,0,0,0,10000000,22,2
34,65,"DEVK Versicherungen",devk.de,"Koeln",DE,"Insurance",7500,0,0,0,0,5530000000,,24
35,65,"DB Systel GmbH",dbsystel.de,"Frankfurt am Main",DE,"Information Technology & Services",5400,0,0,0,0,1272000000,,14
36,65,"CHECK24 Vergleichsportal GmbH",check24.de,"Munich",DE,"Internet",5000,0,0,0,0,577000000,,21
37,65,"DKB | Deutsche Kreditbank AG",dkb.de,"Berlin",DE,"Banking",4900,0,0,0,0,1178941000,,10
38,65,"SCHOTT Pharma",schott-pharma.com,"Mainz",DE,"Pharmaceuticals",4800,0,0,0,0,1072450000,,16
39,65,"SIX",six-group.com,"Zuerich",CH,"Financial Services",4400,0,0,0,0,1985000000,,33
40,65,"Haspa | Hamburger Sparkasse",haspa.de,"Hamburg",DE,"Banking",4400,0,0,0,0,65588000000,,50
41,65,"ITZBund",itzbund.de,"Bonn",DE,"Information Technology & Services",4100,0,0,0,0,1674000000,,12
42,65,"PM Group",pmgroup-global.com,"Bern",CH,"Insurance",3600,0,0,0,0,537900000,,20
43,65,"T-Systems International",t-systems.com,"Frankfurt am Main",DE,"Information Technology & Services",3500,0,0,0,0,4616000000,,11
44,65,"BDO Germany",bdo.de,"Hamburg",DE,"Financial Services",3300,0,0,0,0,524000000,,30
45,65,"Acino",acino.swiss,"Zurich",CH,"Pharmaceuticals",2500,0,0,0,0,1020000000,,15
46,65,"Haufe Group",haufegroup.com,"Freiburg",DE,"Computer Software",2500,0,0,0,0,597000000,,10
47,65,"HELM AG",helmag.com,"Hamburg",DE,"Chemicals",2300,0,0,0,0,6806000000,,52
48,65,"Simon-Kucher",simon-kucher.com,"Bonn",DE,"Management Consulting",2100,0,0,0,0,620000000,,41
49,65,"V-ZUG",vzug.com,"Zug",CH,"Mechanical Or Industrial Engineering",2100,0,0,0,0,655655000,,14
50,65,"REWE digital",rewe-digital.com,"Koeln",DE,"Information Technology & Services",1700,0,0,0,0,90523152000,,12
51,65,"Awin Global",awin.link,"Berlin",DE,"Marketing & Advertising",1400,0,0,0,0,535000000,,18
52,65,"Siemens Advanta",siemens-advanta.com,"Munich",DE,"Management Consulting",1400,0,0,0,0,1000000000,,10
53,65,"PD - Berater der öffentlichen Hand GmbH",pd-g.de,"Berlin",DE,"Management Consulting",1300,0,0,0,0,109000000,14,8
54,65,"Merz Therapeutics",merztherapeutics.com,"Frankfurt am Main",DE,"Pharmaceuticals",1300,0,0,0,0,1408000000,,10
55,65,"Sparkasse Mülheim an der Ruhr",sparkasse-muelheim-ruhr.de,"Muelheim",DE,"Banking",1300,0,0,0,0,580000000,,39
56,65,"BMG",bmg.com,"Berlin",DE,"Music",1200,0,0,0,0,1040000000,25,5
57,65,"HanseMerkur",hansemerkur.de,"Hamburg",DE,"Insurance",1200,0,0,0,0,3073000000,,13
58,65,"WGV Versicherung",wgv.de,"Stuttgart",DE,"Insurance",1200,0,0,0,0,913000000,,12
59,65,"WBS TRAINING AG",wbs-gruppe.de,"Berlin",DE,"Professional Training & Coaching",1200,0,0,0,0,163000000,19,2
60,65,"Sparkasse Heidelberg",sparkasse-heidelberg.de,"Heidelberg",DE,"Banking",1100,0,0,0,0,567400000,,41
61,65,"Valiant Bank AG",valiant.ch,"Bern",CH,"Banking",1100,0,0,0,0,611289000,,11
62,65,"Raiffeisen",raiffeisen.at,"Vienna",AT,"Banking",930,0,0,0,0,9870000000,,13
63,65,"adesso business consulting AG",adesso-bc.com,"Hamburg",DE,"Management Consulting",830,0,0,0,0,1354000000,,22
64,65,"Sparda-Bank München eG",sparda-m.de,"Munich",DE,"Banking",760,9,4,4,1,,8,14
65,65,"GLS Bank",gls.de,"Bochum",DE,"Banking",600,0,0,0,0,5973000000,,11
66,65,"DZ HYP",dzhyp.de,"Hamburg",DE,"Banking",580,0,0,0,0,,22,12
67,65,"Moss",getmoss.com,"Berlin",DE,"Financial Services",440,0,0,0,0,955000000,20,2
68,65,"DSGV - Deutscher Sparkassen- und Giroverband",dsgv.de,"Berlin",DE,"Banking",420,0,0,0,0,3837000000,24,1
69,65,"Stuttgarter Lebensversicherung a.G.",stuttgarter.de,"Stuttgart",DE,"Insurance",330,0,0,0,0,750000000,22,1
70,64,"Sparkassen-Versicherung Sachsen",sv-sachsen.de,"Dresden",DE,"Insurance",900,0,0,0,0,1116000000,14,1
71,64,"Volkswohl Bund Versicherungen",volkswohl-bund.de,"Dortmund",DE,"Insurance",860,0,0,0,0,1972000000,14,2
72,64,"Uberall",uberall.com,"Berlin",DE,"Computer Software",410,0,0,0,0,50000000,20,3
73,63,"Storck",storck.com,"Berlin",DE,"Mechanical Or Industrial Engineering",8300,0,0,0,0,2000000000,,4
74,63,"KfW",kfw.de,"Frankfurt am Main",DE,"Banking",8200,0,0,0,0,34700000000,,4
75,63,"Julius Baer",juliusbaer.com,"Zurich",CH,"Banking",7800,0,0,0,0,4274209000,,8
76,63,"Konzern Versicherungskammer",konzern-versicherungskammer.de,"Munich",DE,"Insurance",7500,0,0,0,0,9934000000,,4
77,63,"Zürcher Kantonalbank",zkb.ch,"Zurich",CH,"Banking",6700,0,0,0,0,3886000000,,3
78,63,"die Mobiliar",mobiliar.ch,"Bern",CH,"Insurance",6400,0,0,0,0,5496000000,,6
79,63,"AUTODOC",autodoc.group,"Berlin",DE,"Information Technology & Services",6000,0,0,0,0,1788000000,,5
80,63,"SV SparkassenVersicherung",sparkassenversicherung.de,"Stuttgart",DE,"Insurance",5000,0,0,0,0,4585000000,,6
81,63,"IONOS",ionos.com,"Karlsruhe",DE,"Internet",4200,0,0,0,0,1681000000,,5
82,63,"Deutsche Angestellten Akademie - DAA",daa.de,"Berlin",DE,"Professional Training & Coaching",3900,0,0,0,0,218000000,,13
83,63,"Formel D Group",formeld.com,"Cologne",DE,"Mechanical Or Industrial Engineering",3600,0,0,0,0,377000000,,88
84,63,"Kreissparkasse Köln",ksk-koeln.de,"Cologne",DE,"Banking",3500,0,0,0,0,500000000,,4
85,63,"Allgeier Group",allgeier.com,"Munich",DE,"Information Technology & Services",3200,0,0,0,0,419817000,,11
86,63,"Scheidt & Bachmann",scheidt-bachmann.de,"Moenchengladbach",DE,"Computer Software",3000,0,0,0,0,576000000,,9
87,63,"Avaloq",avaloq.com,"Zurich",CH,"Computer Software",2500,0,0,0,0,625000000,,7
88,63,"Swiss Life Asset Managers",swisslife-am.com,"Zurich",CH,"Investment Management",2400,0,0,0,0,1284178000,,3
89,63,"Telekom MMS",telekom-mms.com,"Dresden",DE,"Information Technology & Services",2400,0,0,0,0,265000000,,10
90,63,"Stadtsparkasse München",sskm.de,"Munich",DE,"Banking",2400,0,0,0,0,512000000,,3
91,63,"ING Deutschland",ing.de,"Frankfurt",DE,"Banking",2300,0,0,0,0,2307000000,,5
92,63,"Wiener Städtische Versicherung",wienerstaedtische.at,"Vienna",AT,"Insurance",2200,0,0,0,0,4099000000,,3
93,63,"Vontobel",vontobel.com,"Zuerich",CH,"Investment Management",2000,0,0,0,0,1573000000,,7
94,63,"ETAS",etas.com,"Stuttgart",DE,"Computer Software",2000,0,0,0,0,537000000,,8
95,63,"CONET",conet.de,"Bonn",DE,"Information Technology & Services",2000,0,0,0,0,348000000,,19
96,63,"BDO Switzerland",bdo.ch,"Zurich",CH,"Financial Services",1800,0,0,0,0,356000000,,43
97,63,"Helaba",helaba.com,"Frankfurt",DE,"Banking",1800,0,0,0,0,2700000000,,7
98,63,"Mobil Krankenkasse",mobil-krankenkasse.de,"Hamburg",DE,"Insurance",1800,0,0,0,0,2055000000,,6
99,63,"P3",p3-group.com,"Stuttgart",DE,"Logistics & Supply Chain",1700,0,0,0,0,500000000,,6
100,63,"Baker Tilly Germany",bakertilly.de,"Duesseldorf",DE,"Financial Services",1700,0,0,0,0,281000000,,11
